"ID","weight_p","weight_fc","type"
"M213T541_NEG",1,0.999791030992406,"feature"
"M260T587_NEG",1,0.999973220206271,"feature"
"M301T417_NEG",1,0.999825825489888,"feature"
"M329T416_2_NEG",1,0.999970154233719,"feature"
"M330T416_2_NEG",1,0.99996611329694,"feature"
"M349T511_NEG",1,0.99998106295952,"feature"
"M350T511_NEG",1,0.999976221390242,"feature"
"M351T511_NEG",1,0.999905025997307,"feature"
"M351T505_NEG",1,0.999908979694654,"feature"
"M359T416_NEG",1,0.999981683945335,"feature"
"M360T416_NEG",1,0.999950028693491,"feature"
"M361T418_NEG",1,0.999705331187935,"feature"
"M365T412_NEG",1,0.999994695535207,"feature"
"M366T413_NEG",1,0.999822008309246,"feature"
"M367T389_NEG",1,0.999998906535706,"feature"
"M368T389_NEG",1,0.999984403188014,"feature"
"M381T323_NEG",1,0.999876548472796,"feature"
"M389T416_NEG",1,0.999977648778763,"feature"
"M397T569_NEG",1,0.999985364584314,"feature"
"M398T650_NEG",1,0.999997603938043,"feature"
"M399T402_NEG",1,0.999991640791151,"feature"
"M399T343_NEG",1,0.999846629230413,"feature"
"M399T588_NEG",1,0.999809971698849,"feature"
"M400T402_NEG",1,0.999789127999135,"feature"
"M400T656_NEG",1,0.999815285125098,"feature"
"M401T474_NEG",1,0.999996476499696,"feature"
"M403T438_NEG",1,0.999786237815003,"feature"
"M409T487_NEG",1,0.999875041043702,"feature"
"M411T578_NEG",1,0.999961803826952,"feature"
"M413T581_NEG",1,0.999810200012792,"feature"
"M413T555_NEG",1,0.999713305706023,"feature"
"M413T658_NEG",1,0.999999325554586,"feature"
"M415T581_NEG",1,0.999897939472089,"feature"
"M415T552_NEG",1,0.999925215572861,"feature"
"M416T578_NEG",1,0.999932687022891,"feature"
"M416T504_NEG",1,0.999838799879698,"feature"
"M423T401_NEG",1,0.999747179073072,"feature"
"M427T544_NEG",1,0.999868488998,"feature"
"M429T449_NEG",1,0.999672597673702,"feature"
"M431T511_NEG",1,0.999862542892917,"feature"
"M437T281_NEG",1,0.999922639477638,"feature"
"M437T388_NEG",1,0.999978883633737,"feature"
"M441T501_NEG",1,0.999863272175688,"feature"
"M461T343_NEG",1,0.999792425108297,"feature"
"M463T319_NEG",1,0.99999515987642,"feature"
"M463T399_NEG",1,0.99999685787751,"feature"
"M464T319_NEG",1,0.999936322257533,"feature"
"M464T399_NEG",1,0.999945678795805,"feature"
"M493T568_NEG",1,0.999994047715564,"feature"
"M493T549_NEG",1,0.999998604769347,"feature"
"M494T567_NEG",1,0.999985324405228,"feature"
"M494T549_NEG",1,0.999998283718871,"feature"
"M497T579_NEG",1,0.999865584992288,"feature"
"M509T477_NEG",1,0.999996279157332,"feature"
"M509T536_NEG",1,0.999926079019626,"feature"
"M510T536_NEG",1,0.999949914713271,"feature"
"M510T476_NEG",1,0.999984403200363,"feature"
"M511T469_NEG",1,0.999988259874764,"feature"
"M511T506_NEG",1,0.999962875916021,"feature"
"M512T469_NEG",1,0.999854113793189,"feature"
"M527T515_NEG",1,0.999969414285003,"feature"
"M570T526_NEG",1,0.999973465675693,"feature"
"M591T536_NEG",1,0.99992421124944,"feature"
"M602T572_NEG",1,0.999880644564195,"feature"
"M659T558_NEG",1,0.999992825744265,"feature"
"M742T557_NEG",1,0.999918731253137,"feature"
"M823T557_NEG",1,0.999964588398222,"feature"
